game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401426591,2022,8,regular,home,2636,UTSA,Conference USA,249,North Texas,Conference USA,27-40,0,32,2-3,0,0,0,0,1,0,0,0,7,238,8,1,2,38:23,0,2,1,5,54,2,257,2,21,5,10-18,1,5-45,495,1,6.0,4.8
401426592,2022,8,regular,away,5,UAB,Conference USA,98,Western Kentucky,Conference USA,5-12,0,14,0-0,3,2,0,0,1,0,62,3,5,96,6,0,2,27:21,0,0,0,0,39,0,228,1,48,5,4-11,3,4-22,324,4,8.0,5.8
401426592,2022,8,regular,home,98,Western Kentucky,Conference USA,5,UAB,Conference USA,14-23,0,19,1-1,1,6,0,11,0,0,0,0,8,128,2,1,0,32:39,0,26,1,0,44,2,224,3,25,5,3-13,1,11-86,352,1,5.6,5.1
401426593,2022,9,regular,away,2429,Charlotte,Conference USA,242,Rice,Conference USA,17-20,0,25,2-3,0,0,0,0,0,0,125,4,8,275,7,1,5,31:57,0,40,3,3,43,3,239,3,37,3,3-9,0,5-46,514,0,13.8,5.6
401426593,2022,9,regular,home,242,Rice,Conference USA,2429,Charlotte,Conference USA,18-33,0,20,1-2,0,0,0,0,1,0,18,1,5,218,2,0,3,28:03,0,0,1,0,30,0,152,3,47,4,4-12,0,5-48,370,1,6.6,5.1
401426594,2022,9,regular,away,2348,Louisiana Tech,Conference USA,2229,Florida International,Conference USA,28-40,0,23,0-2,0,0,0,0,0,0,32,2,10,256,11,0,0,33:16,0,0,0,3,41,4,184,1,41,4,10-19,2,5-45,440,0,6.4,4.5
401426594,2022,9,regular,home,2229,Florida International,Conference USA,2348,Louisiana Tech,Conference USA,31-48,0,23,0-1,0,0,0,0,0,0,92,4,10,321,4,0,3,26:44,0,0,0,0,26,2,57,2,45,5,7-15,2,8-55,378,0,6.7,2.2
401426595,2022,9,regular,away,5,UAB,Conference USA,2226,Florida Atlantic,Conference USA,18-34,0,23,1-3,0,0,0,0,0,0,0,1,5,192,3,0,1,36:00,0,0,0,4,42,1,280,0,23,2,6-16,1,8-57,472,0,5.6,6.7
401426595,2022,9,regular,home,2226,Florida Atlantic,Conference USA,5,UAB,Conference USA,14-25,0,16,2-2,0,0,0,0,0,0,19,1,6,187,3,0,3,24:00,0,0,0,5,35,0,172,0,36,4,6-16,0,5-45,359,0,7.5,4.9
401426596,2022,9,regular,away,2393,Middle Tennessee,Conference USA,2638,UTEP,Conference USA,21-27,0,20,2-2,1,0,0,4,0,0,0,0,6,265,4,1,3,27:27,0,14,4,4,35,0,113,5,38,7,3-12,1,7-43,378,1,9.8,3.2
401426596,2022,9,regular,home,2638,UTEP,Conference USA,2393,Middle Tennessee,Conference USA,20-35,0,19,0-1,0,1,0,0,1,0,51,3,7,191,1,0,1,32:33,0,-1,2,2,34,0,101,4,28,7,6-16,0,8-67,292,1,5.5,3.0
